sku,variant_name,color,swatch_width,swatch_length,width_real_size,length_real_size,top_down_image_url,product_url,product_name,product_status,application_method,cart_url,surface_applicability,category,collection,wallpaper_type,product_id,variant_id,variant_price,variant_inventory_quantity
AR-58-SV-V01-GRY-SMO,Grey / Smooth,Grey,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/b5d62778dcd69c33a115f7ce3ebc60c1.jpg?v=1738245455,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644586152,149,200000
AR-58-SV-V01-GRY-CAN,Grey / Canvas Textured,Grey,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/b5d62778dcd69c33a115f7ce3ebc60c1.jpg?v=1738245455,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644618920,179,200000
AR-58-SV-V01-GRY-LEA,Grey / Leather,Grey,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/b5d62778dcd69c33a115f7ce3ebc60c1.jpg?v=1738245455,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644651688,199,200000
AR-58-SV-V01-GRY-SIL,Grey / Silk,Grey,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/b5d62778dcd69c33a115f7ce3ebc60c1.jpg?v=1738245455,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644684456,199,200000
AR-58-SV-V01-GRY-SAN,Grey / Sandstone,Grey,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/b5d62778dcd69c33a115f7ce3ebc60c1.jpg?v=1738245455,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644717224,179,200000
AR-58-SV-V02-PNK-SMO,Pink / Smooth,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/3e950497511144ee8fbf230d0269ed15.jpg?v=1738245464,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644749992,149,200000
AR-58-SV-V02-PNK-CAN,Pink / Canvas Textured,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/3e950497511144ee8fbf230d0269ed15.jpg?v=1738245464,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644782760,179,200000
AR-58-SV-V02-PNK-LEA,Pink / Leather,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/3e950497511144ee8fbf230d0269ed15.jpg?v=1738245464,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644815528,199,200000
AR-58-SV-V02-PNK-SIL,Pink / Silk,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/3e950497511144ee8fbf230d0269ed15.jpg?v=1738245464,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644848296,199,200000
AR-58-SV-V02-PNK-SAN,Pink / Sandstone,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/3e950497511144ee8fbf230d0269ed15.jpg?v=1738245464,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644881064,179,200000
AR-58-SV-V03-YEL-SMO,Yellow / Smooth,Yellow,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/e8939672060f8fa9a36002bba48a622b.jpg?v=1740240159,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644913832,149,200000
AR-58-SV-V03-YEL-CAN,Yellow / Canvas Textured,Yellow,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/e8939672060f8fa9a36002bba48a622b.jpg?v=1740240159,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644946600,179,200000
AR-58-SV-V03-YEL-LEA,Yellow / Leather,Yellow,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/e8939672060f8fa9a36002bba48a622b.jpg?v=1740240159,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644979368,199,200000
AR-58-SV-V03-YEL-SIL,Yellow / Silk,Yellow,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/e8939672060f8fa9a36002bba48a622b.jpg?v=1740240159,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255645012136,199,200000
AR-58-SV-V03-YEL-SAN,Yellow / Sandstone,Yellow,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/e8939672060f8fa9a36002bba48a622b.jpg?v=1740240159,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255645044904,179,200000
AR-58-SV-V04-BEI-SMO,Beige / Smooth,Beige,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/ea609ac6106924a64934df9808a26ad0.jpg?v=1740240845,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255645077672,149,200000
