sku,variant_name,color,swatch_width,swatch_length,width_real_size,length_real_size,top_down_image_url,product_url,product_name,product_status,application_method,cart_url,surface_applicability,category,collection,wallpaper_type,product_id,variant_id,variant_price,variant_inventory_quantity
AR-58-SV-V01-GRY-SMO,Grey / Smooth,Grey,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/b5d62778dcd69c33a115f7ce3ebc60c1.jpg?v=1738245455,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644586152,149,200000
AR-58-SV-V02-PNK-SMO,Pink / Smooth,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/3e950497511144ee8fbf230d0269ed15.jpg?v=1738245464,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644749992,149,200000
AR-58-SV-V03-YEL-SMO,Yellow / Smooth,Yellow,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/e8939672060f8fa9a36002bba48a622b.jpg?v=1740240159,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255644913832,149,200000
AR-58-SV-V04-BEI-SMO,Beige / Smooth,Beige,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/ea609ac6106924a64934df9808a26ad0.jpg?v=1740240845,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,Abstract Feminine Expression Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/abstract-feminine-expression-wallpaper,foyer,Wallpaper,"Art, Modern, Designer's Choice",Mural,8789978972328,51255645077672,149,200000
KI-96-SV-V01-CRM-SMO,Cream / Smooth,Cream,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/ab273ab86462aeeef6e77ce951140750.jpg?v=1740238958,https://www.themuralstory.com/collections/designers-choice/products/airborne-adventure-playful-animal-pilots-kids-wallpaper,Airborne Adventure – Playful Animal Pilots Kids' Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/airborne-adventure-playful-animal-pilots-kids-wallpaper,kids room,Wallpaper,Kids,Mural,8813211386024,51430164627624,149,200000
KI-96-SV-V02-GRN-SMO,Green / Smooth,Green,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/012f6e48ec9b4d65ff68a902974cd7f7.jpg?v=1740238966,https://www.themuralstory.com/collections/designers-choice/products/airborne-adventure-playful-animal-pilots-kids-wallpaper,Airborne Adventure – Playful Animal Pilots Kids' Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/airborne-adventure-playful-animal-pilots-kids-wallpaper,kids room,Wallpaper,Kids,Mural,8813211386024,51545203409064,149,200000
KI-96-SV-V03-GRY-SMO,Grey / Smooth,Grey,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/b18bcaca6bf3b457970f92e59d9fb252.jpg?v=1740240170,https://www.themuralstory.com/collections/designers-choice/products/airborne-adventure-playful-animal-pilots-kids-wallpaper,Airborne Adventure – Playful Animal Pilots Kids' Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/airborne-adventure-playful-animal-pilots-kids-wallpaper,kids room,Wallpaper,Kids,Mural,8813211386024,51545203572904,149,200000
KI-93-SV-V01-BLU-SMO,Blue / Smooth,Blue,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/e77989874801a44c89d4d6b9f1f51048.jpg?v=1740239444,https://www.themuralstory.com/collections/designers-choice/products/dinosaur-land-black-white-wallpaper-copy,Alphabet Animal Kingdom Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/dinosaur-land-black-white-wallpaper-copy,kids room,Wallpaper,"Kids, Designer's Choice",Mural,8805787566248,51379104907432,149,200000
KI-93-SV-V02-PNK-SMO,Pink / Smooth,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/86b73548250c4f76fe8c72e71fccc98d.jpg?v=1740239460,https://www.themuralstory.com/collections/designers-choice/products/dinosaur-land-black-white-wallpaper-copy,Alphabet Animal Kingdom Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/dinosaur-land-black-white-wallpaper-copy,kids room,Wallpaper,"Kids, Designer's Choice",Mural,8805787566248,51545584828584,149,200000
KI-93-SV-V03-PPL-SMO,Purple / Smooth,Purple,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/7431a85835e465d600425d7f2aeecbd5.jpg?v=1740240036,https://www.themuralstory.com/collections/designers-choice/products/dinosaur-land-black-white-wallpaper-copy,Alphabet Animal Kingdom Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/dinosaur-land-black-white-wallpaper-copy,kids room,Wallpaper,"Kids, Designer's Choice",Mural,8805787566248,51545584992424,149,200000
